pcm_name,density_kg_m3,specific_heat_J_kgK,thermal_conductivity_W_mK,viscosity_Pa_s,latent_heat_J_kg,tsolidus_K,tliquidus_K,melting_temp_K,melting_temp_C,melt_range_K,electrical_conductivity_S_m,volumetric_latent_storage_MJ_m3
RT27,880,2000,0.20,0.0040,179000,299.15,301.15,300.15,27.00,2.0,1e-09,157.52
RT45,800,2000,0.20,0.0040,170000,314.15,318.15,316.15,43.00,4.0,1e-09,136.00
RT50,825,2100,0.19,0.0045,168000,321.15,324.15,322.65,49.50,3.0,1e-09,138.60
RT55,770,2000,0.20,0.0045,180000,324.15,328.15,326.15,53.00,4.0,1e-09,138.60
RT60,825,2100,0.19,0.0040,170000,331.15,335.15,333.15,60.00,4.0,1e-09,140.25
RT65,825,2100,0.19,0.0038,180000,336.15,339.15,337.65,64.50,3.0,1e-09,148.50
RT70,780,2200,0.20,0.0050,190000,341.15,345.15,343.15,70.00,4.0,1e-09,148.20
RT70HC,825,2100,0.19,0.0035,250000,341.15,345.15,343.15,70.00,4.0,1e-09,206.25
RT80,825,2100,0.19,0.0032,200000,350.15,355.15,352.65,79.50,5.0,1e-09,165.00
RT90,825,2200,0.195,0.0030,190000,360.15,365.15,362.65,89.50,5.0,1e-09,156.75
Stearic_Acid,900,2050,0.235,0.0050,199000,341.15,344.15,342.65,69.50,3.0,1e-09,179.10
Palmitic_Acid,920.5,2250,0.19,0.0045,185000,334.15,337.15,335.65,62.50,3.0,1e-09,170.29
Myo_Inositol,1340,2000,0.40,0.0055,260000,361.15,364.15,362.65,89.50,3.0,1e-09,348.40
Sodium_Acetate_Trihydrate,1365,2250,0.55,0.0030,264000,329.15,331.15,330.15,57.00,2.0,1e-09,360.36
Magnesium_Nitrate_Hexahydrate,1565,2000,0.60,0.0040,135000,361.15,363.15,362.15,89.00,2.0,1e-09,211.28
